NID,Time,EventName,DisasterType,DisasterSubType,Coordinate,Lon,Lat,C_Name,T_Name,Address,situation,DeathNo,MissingNo,InjuredNo,TrappedNo,ShelterNo,CaseStatus,GeometryType,SourceType,CaseInformer,nTWD97_X,nTWD97_Y,WriteDateTime
165354,2016-9-28 13:08,梅姬颱風,土石災情,土石崩落,"121.5438,25.17561",121.5438,25.17561,臺北市,北投區  ,北投區竹仔湖路產業道路2+500處邊坡土石滑落，妨礙交通,北投區竹仔湖路產業道路2+500處邊坡土石滑落，妨礙交通,0,0,0,0,0,已處理,點,自建系統,,304813.42,2785339.33,42642.43264
165393,2016-9-28 13:03,梅姬颱風,土石災情,土石流,"120.472339609466,22.8759120076776",120.47234,22.875912,高雄市,旗山區  ,高雄市旗山區,壹電視、中天電視報導旗山區土石流壓民宅受困請查明回報,0,0,0,0,0,已處理,點,災情查報WEB,,195858.48,2530639.52,42642.43333
165413,2016-9-28 13:02,梅姬颱風,土石災情,土石崩落,"120.492271,22.893076",120.492271,22.893076,高雄市,旗山區  ,高雄市旗山區東平里竹寮巷,東平里竹寮巷多處山壁坍方,0,0,0,0,0,已處理,點,災情查報WEB,,197910.16,2532532.98,42642.43333
165447,2016-9-28 12:58,梅姬颱風,土石災情,土石崩落,"120.603275,23.445495",120.603275,23.445495,嘉義縣,番路鄉  ,嘉義縣番路鄉觸口村嘉124線,觸口村長前面往觸口替代道路山崩( 嘉124線),0,0,0,0,0,處理中,點,災情查報WEB,,209465.28,2593671.32,42642.43403
165505,2016-9-28 12:52,梅姬颱風,土石災情,土石崩落,"121.37545482974114,24.729680379377637",121.375455,24.72968,桃園市,復興區  ,桃園市復興區華陵村中心路148號-道路坍方無法通行, 桃園市復興區華陵村中心路148號-道路坍方無法通行(影響戶數:1戶-該路為住戶出入處),0,0,0,0,0,處理中,點,119消防署派遣系統,,287981.08,2735889.07,42642.43403
165652,2016-9-28 12:34,梅姬颱風,土石災情,土石崩落,"120.447549,22.84274",120.447549,22.84274,高雄市,旗山區  ,高雄市旗山區新光里中寮二路高41線,新光里中寮二路高41線1K+300，1K+500，3K+200,0,0,0,0,0,處理中,點,災情查報WEB,,193300.98,2526975.55,42642.43611
165798,2016-9-28 12:16,梅姬颱風,土石災情,土石崩落,"120.492118,23.373972",120.492118,23.373972,嘉義縣,中埔鄉  ,嘉義縣中埔鄉三層村官真閂5號,土石崩影響道路交通家裡有2位老人無法出來(家屬正從北部南下) 2.會等雨小再派人清理土石，目前老人家一切安全，並已連絡黃先生。 3.中埔公所陳聖維先生說預估下午5、6點清理完畢,0,0,0,0,0,處理中,點,災情查報WEB,,198079.92,2585786.42,42642.4375
165963,2016-9-28 12:01,梅姬颱風,土石災情,土石崩落,"120.379185,22.788999",120.379185,22.788999,高雄市,燕巢區  ,高雄市燕巢區東燕里中民路61巷3之22號,淹?民宅,0,3,0,0,0,已處理,點,災情查報WEB,,186259.47,2521052.44,42642.43958
166134,2016-9-28 11:47,梅姬颱風,土石災情,土石崩落,"121.732698,25.129951",121.732698,25.129951,基隆市,安樂區  ,基隆市安樂區崇德路82巷42號,"基隆市安樂區崇德路82巷42號, 土石掏空, 大樹滑落",0,0,0,0,0,已處理,點,災情查報WEB,,323881.85,2780371.92,42642.44167
166343,2016-9-28 11:32,梅姬颱風,土石災情,土石流,"120.372680511845,22.7893072685045",120.372681,22.789307,高雄市,燕巢區  ,高雄市燕巢區深水里靜合醫院對面,靜合醫院對面4米路旁山壁崩落，土石滑動，請通知報案人,0,0,0,0,0,已處理,點,災情查報WEB,,185591.76,2521089.4,42642.44444
166438,2016-9-28 11:25,梅姬颱風,土石災情,土石崩落,"121.739346,25.113567",121.739346,25.113567,基隆市,仁愛區  ,基隆市仁愛區南榮路200巷4號,對面山坡崩坍，有影響排水之虞。,0,0,0,0,0,處理中,點,災情查報WEB,,324562.17,2778560.73,42642.44514
166495,2016-9-28 11:22,梅姬颱風,土石災情,土石流,"121.53685569763184,23.835679496678658",121.536856,23.835679,花蓮縣,壽豐鄉  ,花蓮縣壽豐鄉月眉村,月眉村花193線29K~米棧村花193線46K多處坍方阻礙交通,0,0,0,0,0,待處理,點,災情查報WEB,,304690.23,2636928.84,42642.44583
166547,2016-9-28 11:19,梅姬颱風,土石災情,土石崩落,"120.465647,22.880221",120.465647,22.880221,高雄市,旗山區  ,高雄市旗山區三協里台28線27K,旗山區三協里台28線27K處土石滑落佔2車道,0,0,0,0,0,已處理,點,災情查報WEB,,195173.48,2531119.15,42642.44653
166580,2016-9-28 11:16,梅姬颱風,土石災情,土石崩落,"120.461412,22.81395",120.461412,22.81395,高雄市,旗山區  ,高雄市旗山區南勝里台29線,旗山區南勝里台29線往大樹方向土石崩落單向通行,0,0,0,0,0,處理中,點,災情查報WEB,,194712.16,2523782.26,42642.44722
166734,2016-9-28 11:05,梅姬颱風,土石災情,土石崩落,"120.524418,23.462495",120.524418,23.462495,嘉義縣,番路鄉  ,嘉義縣番路鄉新福村五虎寮,嘉126-1五虎寮道路落石多處，影響交通,0,0,0,0,0,處理中,點,災情查報WEB,,201414.3,2595578.34,42642.44931
169086,2016-9-28 10:50,梅姬颱風,土石災情,土石崩落,"121.5711,24.96462",121.5711,24.96462,臺北市,文山區  ,老泉街26巷與45巷，整路,沿路落石掉落 影響通行,0,0,0,0,0,已處理,點,自建系統,,307663.95,2761980.12,42642.98681
166993,2016-9-28 10:45,梅姬颱風,土石災情,土石流,"120.562943689021,22.9866102883177",120.562944,22.98661,高雄市,杉林區  ,高雄市杉林區杉林里,白水泉道路土石滑落及竹子倒塌,0,0,0,0,0,處理中,點,災情查報WEB,,205191.64,2542867.19,42642.45278
167129,2016-9-28 10:38,梅姬颱風,土石災情,土石崩落,"120.562943689021,22.9866102883177",120.562944,22.98661,高雄市,杉林區  ,高雄市杉林區杉林里,普賢靈修院道路土石滑落無法通行,0,0,0,0,0,待處理,點,災情查報WEB,,205191.64,2542867.19,42642.45486
155782,2016-9-28 10:16,梅姬颱風,土石災情,土石流,"120.562943689021,22.9866102883177",120.562944,22.98661,高雄市,杉林區  ,高雄市杉林區,杉林里高129線(從第四公墓旁)往內灣土石流道路未通,0,0,0,0,0,待處理,點,災情查報WEB,,205191.64,2542867.19,42641.45208
155918,2016-9-28 10:07,梅姬颱風,土石災情,土石崩落,"121.707011085418,25.1441610366763",121.707011,25.144161,基隆市,安樂區  ,基隆市安樂區,"基隆市安樂區內寮澳底產業道路, 快到湖海路涼亭前, 有落石狀況",0,0,0,0,0,待處理,點,災情查報WEB,,321283.37,2781932.13,42641.45278
155929,2016-9-28 10:07,梅姬颱風,土石災情,土石崩落,"120.562943689021,22.9866102883177",120.562944,22.98661,高雄市,杉林區  ,高雄市杉林區集來里,火山橋前(台29線)250公尺處土石滑落,0,0,0,0,0,待處理,點,災情查報WEB,,205191.64,2542867.19,42641.45278
167436,2016-9-28 10:01,梅姬颱風,土石災情,土石崩落,"121.5918,24.96869",121.5918,24.96869,臺北市,文山區  ,指南路38巷37-1號前150公尺土石崩落,指南路38巷37-1號前150公尺土石崩落,0,0,0,0,0,已處理,點,自建系統,,309752.11,2762439.88,42642.46736
156085,2016-9-28 09:57,梅姬颱風,土石災情,土石流,"120.69137,23.10321",120.69137,23.10321,高雄市,六龜區  ,高雄市六龜區寶來里高133線寶來0K+500沿線,多處土石流,0,0,0,0,0,待處理,點,災情查報WEB,,218385.63,2555745.36,42641.45278
156091,2016-9-28 09:57,梅姬颱風,土石災情,土石崩落,"120.621046721599,23.6329974807867",120.621047,23.632997,雲林縣,古坑鄉  ,雲林縣古坑鄉牛奶村小坍方,古坑鄉牛奶村小坍方(一萬方)(古坑鄉災害應變中心通報)，影響通行,0,0,0,0,0,待處理,點,災情查報WEB,,211335.94,2614430.87,42641.45278
156102,2016-9-28 09:56,梅姬颱風,土石災情,土石流,"120.69137,23.10321",120.69137,23.10321,高雄市,六龜區  ,高雄市六龜區寶來里新寶來溫泉山莊,土石流沖刷至路面，無法通行,0,0,0,0,0,待處理,點,災情查報WEB,,218385.63,2555745.36,42641.45278
167458,2016-9-28 09:55,梅姬颱風,土石災情,土石崩落,"121.060625,24.636007",121.060625,24.636007,新竹縣,北埔鄉  ,新竹縣北埔鄉外坪村6鄰觀音仙水往永茂山莊農路約500公尺處及600公尺處,土石坍塌(大石塊無法移除，樹倒已先行移除),0,0,0,0,0,未指派,點,災情查報WEB,,256137.39,2725463.38,42642.46944
156214,2016-9-28 09:48,梅姬颱風,土石災情,土石崩落,"120.562943689021,22.9866102883177",120.562944,22.98661,高雄市,杉林區  ,高雄市杉林區,杉林大橋往內灣方向土石崩落,0,0,0,0,0,待處理,點,災情查報WEB,,205191.64,2542867.19,42641.45347
156255,2016-9-28 09:45,梅姬颱風,土石災情,土石崩落,"120.66812742564,23.0021107476767",120.668127,23.002111,高雄市,六龜區  ,高雄市六龜區新發里媽祖廟,土砂下移至路面，阻礙通行,0,0,0,0,0,處理中,點,災情查報WEB,,215979.39,2544555.36,42641.45347
156286,2016-9-28 09:44,梅姬颱風,土石災情,土石流,"120.392033,22.662365",120.392033,22.662365,高雄市,鳥松區  ,高雄市鳥松區中山西路115號,華美公園後方土石流落,0,0,0,0,0,待處理,點,災情查報WEB,,187521.15,2507024.33,42641.45347
156419,2016-9-28 09:34,梅姬颱風,土石災情,土石流,"120.48527,23.322312",120.48527,23.322312,臺南市,白河區  ,臺南市白河區關嶺里172線42.5K,關嶺里172線42.5K,0,0,0,0,0,待處理,點,災情查報WEB,,197359.48,2580068.02,42641.45417
156481,2016-9-28 09:30,梅姬颱風,土石災情,土石崩落,"120.621733,23.464674",120.621733,23.464674,嘉義縣,番路鄉  ,嘉義縣番路鄉大湖村8鄰雙溪地區,大湖村8鄰雙溪地區三處土石滑落，道路無法通行。,0,0,0,0,0,待處理,點,災情查報WEB,,211356.8,2595790.15,42641.45486
156712,2016-9-28 09:15,梅姬颱風,土石災情,土石崩落,"121.67862432244,25.1052700198869",121.678624,25.10527,基隆市,七堵區  ,基隆市七堵區,泰安產業道路(附近無門牌)邊坡土石滑落影響通行(大約位置：泰安市民農場往上走500公尺處。),0,0,0,0,0,處理中,點,災情查報WEB,,318442.89,2777609.52,42641.45556
156821,2016-9-28 09:06,梅姬颱風,土石災情,土石崩落,"120.465764,22.84847",120.465764,22.84847,高雄市,旗山區  ,高雄市旗山區中寮一路高40線,"旗山區中寮里中寮一路高40線,崑山宮牌樓前約100M至200M,土石坍方,阻斷交通,無法通行",0,0,0,0,0,待處理,點,災情查報WEB,,195172.75,2527603.18,42641.45625
156915,2016-9-28 08:57,梅姬颱風,土石災情,土石崩落,"120.472631561933,22.9567922803718",120.472632,22.956792,高雄市,內門區  ,高雄市內門區旗山巷,往實踐大學方向土石崩落 機車道無法通行,0,0,0,0,0,待處理,點,災情查報WEB,,195920.52,2539595.7,42641.45694
157007,2016-9-28 08:48,梅姬颱風,土石災情,土石流,"120.48527,23.322312",120.48527,23.322312,臺南市,白河區  ,臺南市白河區關嶺里172乙線碧雲寺附近　,172乙線碧雲寺附近有落石土坊及樹木倒塌。,0,0,0,0,0,待處理,點,災情查報WEB,,197359.48,2580068.02,42641.45764
157296,2016-9-28 08:23,梅姬颱風,土石災情,土石崩落,"120.48527,23.322312",120.48527,23.322312,臺南市,白河區  ,臺南市白河區關嶺里175線7.5公里處,關嶺里175線7.5公里處土石滑落路面,0,0,0,0,0,待處理,點,災情查報WEB,,197359.48,2580068.02,42641.45972
167790,2016-9-28 08:17,梅姬颱風,土石災情,土石崩落,"120.726940127291,23.7152636682294",120.72694,23.715264,南投縣,竹山鎮  ,南投縣竹山鎮瑞竹里,瑞竹里鯉南路與麻埔農路交接口土石淤積,0,0,0,0,0,待處理,點,災情查報WEB,,222157.6,2623516.66,42642.50069
167816,2016-9-28 08:14,梅姬颱風,土石災情,土石崩落,"121.5556,25.15362",121.5556,25.15362,臺北市,士林區  ,新園街75巷15號號,有土石崩落，請處理,0,0,0,0,0,已處理,點,自建系統,,306012.89,2782908.41,42642.50278
157691,2016-9-28 07:47,梅姬颱風,土石災情,土石崩落,"120.386914,22.744877",120.386914,22.744877,高雄市,大社區  ,高雄市大社區大同路,"高雄市大社區大同路邊坡土石崩落,已派開口合約廠商處理",0,0,0,0,0,待處理,點,災情查報WEB,,187032.81,2516163.31,42641.46319
157748,2016-9-28 07:40,梅姬颱風,土石災情,土石崩落,"121.127396,24.673475",121.127396,24.673475,新竹縣,橫山鄉  ,新竹縣橫山鄉南昌村4鄰18-2號,新竹縣橫山鄉南昌村薯園道路約3.2KM附近崩塌致道路中斷,0,0,0,0,0,未指派,點,災情查報WEB,,262893.14,2729617.84,42641.46319
157806,2016-9-28 07:33,梅姬颱風,土石災情,土石崩落,"120.354465,23.052705",120.354465,23.052705,臺南市,新化區  ,臺南市新化區羊林里羊子寮6號,臺南市新化區羊林里羊子寮6號邊坡塌陷致路面,0,0,0,0,0,處理中,點,災情查報WEB,,183849.48,2550265.25,42641.46389
158104,2016-9-28 06:28,梅姬颱風,土石災情,土石流,"120.335288138143,23.036075890204",120.335288,23.036076,臺南市,新化區  ,臺南市新化區山腳里溪湖靈隱寺,西湖靈隱寺(自168線出入往尖山方向)，有土石掩埋道路，民眾無法出入。,0,0,0,0,0,處理中,點,災情查報WEB,,181875.93,2548432.56,42641.46667
158193,2016-9-28 05:57,梅姬颱風,土石災情,土石崩落,"120.46109251667076,22.832128262337747",120.461093,22.832128,高雄市,旗山區  ,高雄市旗山區新光里13鄰後厝巷13號,里長打電話反映後厝巷後方大片土石崩落,0,0,0,0,0,待處理,點,災情查報WEB,,194686.71,2525795.34,42641.46806
158260,2016-9-28 04:48,梅姬颱風,土石災情,土石崩落,"120.472339609466,22.8759120076776",120.47234,22.875912,高雄市,旗山區  ,高雄市旗山區竹寮巷,東平里竹寮巷(靠近旗山地景橋處)高113號道路，已經有土石崩落，目前整條道路已經無法通行，請養工處派大型機具予以清通,0,0,0,0,0,處理中,點,災情查報WEB,,195858.48,2530639.52,42641.46875
158270,2016-9-28 04:40,梅姬颱風,土石災情,土石崩落,"120.465764,22.84847",120.465764,22.84847,高雄市,旗山區  ,高雄市旗山區中寮一路,新光里里長陳里長來電表示，里內中寮山地區土石崩落，阻礙交通 ,0,0,0,0,0,待處理,點,災情查報WEB,,195172.75,2527603.18,42641.46875
159479,2016-9-27 22:44,梅姬颱風,土石災情,土石流,"121.51707579332,24.0943535051541",121.517076,24.094354,花蓮縣,秀林鄉  ,花蓮縣秀林鄉,依據水保局第8報通報單，秀林鄉25條.光復鄉18條.豐濱鄉16條.鳳林鎮9條，共68條潛勢西劉發佈黃色警戒，秀林鄉富世村2條潛勢溪流紅色警戒，通知鄉鎮公所疏散撤離。,0,0,0,0,0,已處理,點,災情查報WEB,,302570.17,2665569.41,42641.48403
147018,2016-9-27 19:49,梅姬颱風,土石災情,土石流,"121.05278,24.680142",121.05278,24.680142,新竹縣,北埔鄉  ,新竹縣北埔鄉南坑村,竹37線冷泉瀑布土石坍方,0,0,0,0,0,未指派,點,災情查報WEB,,255341.32,2730351.3,42640.83472
147699,2016-9-27 19:03,梅姬颱風,土石災情,土石流,"121.32193565368652,24.348269588041877",121.321936,24.34827,臺中市,和平區  ,臺中市和平區平等里,平等里中興路一段與武陵路口有土石流發生，已將周邊住戶暫時安置在武陵國民賓館，也已通報谷關工務段搶修。,0,0,0,0,3,未指派,點,災情查報WEB,,282665.61,2693631.71,42640.83681
161920,2016-9-27 18:34,梅姬颱風,土石災情,土石崩落,"121.374235,24.695024",121.374235,24.695024,桃園市,復興區  ,桃園市復興區高義里中高義部落,中高義部落下方500公尺處，邊坡坍塌,0,0,0,0,0,處理中,點,災情查報WEB,,287868.17,2732050.23,42641.55069
148808,2016-9-27 17:50,梅姬颱風,土石災情,土石崩落,"120.88608741760254,24.444610163616655",120.886087,24.44461,苗栗縣,大湖鄉  ,苗栗縣大湖鄉富興村,苗62線3.9公里往清安老街入口處落石，民眾必須從外環通行,0,0,0,0,0,未指派,點,災情查報WEB,,238450.52,2704268.62,42640.84306
162157,2016-9-27 16:30,梅姬颱風,土石災情,土石崩落,"121.374235,24.695024",121.374235,24.695024,桃園市,復興區  ,桃園市復興區高義里,榮華派出所前坍方，道路中斷,0,0,0,0,0,處理中,點,災情查報WEB,,287868.17,2732050.23,42641.61736
150891,2016-9-27 16:01,梅姬颱風,土石災情,土石崩落,"121.51707579332,24.0943535051541",121.517076,24.094354,花蓮縣,秀林鄉  ,花蓮縣秀林鄉,秀林鄉銅門二號落石影響交通,0,0,0,0,0,處理中,點,災情查報WEB,,302570.17,2665569.41,42640.86528
151322,2016-9-27 15:36,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,竹122縣31k全線中斷無法通行(約五指山附近),0,0,0,0,0,待處理,點,災情查報WEB,,264109.55,2719722.18,42640.87083
155151,2016-9-27 12:00,梅姬颱風,土石災情,土石崩落,"121.27391221413814,24.598281169682128",121.273912,24.598281,新竹縣,尖石鄉  ,新竹縣尖石鄉尖石竹60-1線7k處(落石坍方)," 因持續有零星落石掉落,建議先行封路以維護民眾生命財產安全.",0,0,0,0,0,處理中,點,119消防署派遣系統,,277737.98,2721311.25,42640.95
155384,2016-9-27 11:36,梅姬颱風,土石災情,土石崩落,"120.688335027956,22.6694563723927",120.688335,22.669456,屏東縣,瑪家鄉  ,屏東縣瑪家鄉,屏35線往北葉國小道路邊坡崩落坍坊，請派員處理,0,0,0,0,0,處理中,點,災情查報WEB,,217973.13,2507715.39,42640.95625
146253,2016-9-27 11:25,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,竹林村忠興第1部落坍方,0,0,0,0,0,未指派,點,災情查報WEB,,264109.55,2719722.18,42640.49444
146734,2016-9-27 10:01,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,竹122縣34.3K坍方,0,0,0,0,0,處理中,點,災情查報WEB,,264109.55,2719722.18,42640.49583
162612,2016-9-27 10:01,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,竹122縣34.3K坍方 ==================== 竹122縣34.3K坍方 ,0,0,0,0,0,處理中,點,災情查報WEB,,264109.55,2719722.18,42641.84861
146826,2016-9-27 09:41,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,竹122縣34.3K坍方,0,0,0,0,0,待處理,點,災情查報WEB,,264109.55,2719722.18,42640.49583
146933,2016-9-27 09:02,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,和平仙湖露營區附近人車無法通過,0,0,0,0,0,待處理,點,災情查報WEB,,264109.55,2719722.18,42640.49653
146936,2016-9-27 09:00,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,南清道路37.5k落石,0,0,0,0,0,處理中,點,災情查報WEB,,264109.55,2719722.18,42640.49653
146948,2016-9-27 08:57,梅姬颱風,土石災情,土石流,"121.139316250042,24.5841183346796",121.139316,24.584118,新竹縣,五峰鄉  ,新竹縣五峰鄉,茅圃產業道路(涼山道)落石坍方,0,0,0,0,0,待處理,點,災情查報WEB,,264109.55,2719722.18,42640.49653
158026,2016-9-28 06:48,梅姬颱風,火災,建築物,"120.67916436532131,24.252417045939453",120.679164,24.252417,臺中市,神岡區  ,台中市神岡區八德路429號 廚房冒煙, 廚房冒煙 案發地址疑似弱勢團體(肢體障礙)登記地址,0,0,0,0,0,處理中,點,119消防署派遣系統,,217421.54,2683015.51,42641.46597
158070,2016-9-28 06:38,梅姬颱風,火災,建築物,"120.511612,22.862784",120.511612,22.862784,高雄市,美濃區  ,高雄市美濃區八德街40號,電線走火.災戶自救撲滅,0,0,0,0,0,未指派,點,災情查報WEB,,199883.34,2529171.91,42641.46667
158235,2016-9-28 05:15,梅姬颱風,火災,建築物,"120.7165215845514,24.249447585146925",120.716522,24.249448,臺中市,豐原區  ,台中市豐原區府前街158號（住宅火警）, 住宅火警,0,0,0,0,0,處理中,點,119消防署派遣系統,,221214.23,2682678.44,42641.46806
158251,2016-9-28 04:53,梅姬颱風,火災,建築物,"120.71674945766435,24.248160353814125",120.716749,24.24816,臺中市,豐原區  ,台中市豐原區中興路57號旁（住宅火警）, （住宅火警）,0,0,0,0,0,處理中,點,119消防署派遣系統,,221237.09,2682535.82,42641.46875
158274,2016-9-28 04:37,梅姬颱風,火災,建築物,"120.627933123029,24.126236925183584",120.627933,24.126237,臺中市,南屯區  ,台中市南屯區鎮平巷6號, 住宅火警,0,0,0,0,0,處理中,點,119消防署派遣系統,,212182.16,2669053.81,42641.46875
158280,2016-9-28 04:33,梅姬颱風,火災,建築物,"120.64362652121723,24.36769385193593",120.643627,24.367694,臺中市,大甲區  ,台中市大甲區中山路一段1657號（平房）, 住宅火警-現場為一獨居老人須安置,0,0,0,0,0,處理中,點,119消防署派遣系統,,213845.6,2695791.54,42641.46875
158318,2016-9-28 03:48,梅姬颱風,火災,建築物,"120.49611784984099,22.656792065160676",120.496118,22.656792,屏東縣,屏東市  ,屏東縣屏東市工業六路10號, 屏東縣屏東市工業六路10號工廠火警,0,0,0,0,0,處理中,點,119消防署派遣系統,,198215.75,2506367.23,42641.46944
168156,2016-9-28 01:00,梅姬颱風,火災,建築物,"119.930528,25.974678",119.930528,25.974678,連江縣,莒光鄉  ,連江縣莒光鄉西坵村,莒光西坵村一號倉庫火警,0,0,0,0,0,待處理,點,災情查報WEB,,142910.81,2874179.57,42642.53889
158662,2016-9-28 00:46,梅姬颱風,火災,建築物,"120.22779210061827,22.98773971586906",120.227792,22.98774,臺南市,東區   ,台南市東區裕豐街214巷58號(電線燒焦味),2016/09/28 00:46:55 - 一樓電線燒焦味,0,0,0,0,0,已處理,點,119消防署派遣系統,,170830.39,2543133.88,42641.47292
160279,2016-9-27 21:31,梅姬颱風,火災,建築物,"120.38717558929336,23.119920661666374",120.387176,23.119921,臺南市,大內區  ,台南市大內區曲溪里69-10號,2016/09/27 21:31:07 - 平房明火竄出,0,0,0,0,0,已處理,點,119消防署派遣系統,,187232.78,2557694.2,42641.49653
161074,2016-9-27 20:38,梅姬颱風,火災,建築物,"120.50454378178335,22.683526697806972",120.504544,22.683527,屏東縣,屏東市  ,屏東縣屏東市大連路58-98號,2016/09/27 20:38:58 - 大連/瑞光路口/近上光眼鏡有起火現象,0,0,0,0,0,已處理,點,119消防署派遣系統,,199091.58,2509324.69,42641.51111
