"CASE_ID","CASE_DT","COUNTY","TOWN","LOC","GEOMETRY_TYPE","LonLat","MAIN_TYPE","SUB_TYPE","CASE_DESCRIPTION","STATUS","SOURCE","INJURED_NO","DEATH_NO","TRAPPED_NO","MISSING_NO","SHELTER_NO","IS_TRAFFIC","IS_SERIOUS"
"042016110001249","2016-11-29T10:20:06.000+08:00","臺南市","東區","臺南市東區後甲里","點","120.24064064025879,22.990871526312674","積淹水災情","房屋積淹水","房屋積淹水","未指派","災情查報WEB","0","0","0","0","0","是","否"
"042016110001260","2016-11-29T10:19:57.000+08:00","臺南市","楠西區","臺南市楠西區","點","120.518481574034,23.1772549877448","積淹水災情","地區積淹水","淹水TEST  緊急","待處理","災情查報WEB","1","0","2","0","0","否","否"
"042016110001248","2016-11-29T10:19:51.000+08:00","臺南市","柳營區","臺南市柳營區福中街11號","點","120.314083,23.277194","道路、隧道災情","工區及周邊區域損壞","道路周邊塌坍                                                                                                                                                                                                                                                       ","未指派","災情查報WEB","3","0","0","0","0","是","是"
"042016110001246","2016-11-29T10:19:44.000+08:00","臺南市","安平區","臺南市安平區永華路二段6號","點","120.184747,22.989657","道路、隧道災情","其他","路面坍塌","未指派","災情查報WEB","0","200","0","0","0","是","否"
"042016110001245","2016-11-29T10:12:19.000+08:00","臺南市","北區","臺南市北區台南火車站","點","120.203083077779,23.0100778314755","路樹災情","路樹倒塌","路樹倒塌、測試案件","待處理","災情查報WEB","2","0","0","0","0","是","是"
"042016110001244","2016-11-29T09:25:32.000+08:00","高雄市","苓雅區","高雄市苓雅區四維三路2號","點","120.312025,22.620462","積淹水災情","房屋積淹水","地下室淹水","未指派","災情查報WEB","5","0","0","0","0","否","否"
"042016110001242","2016-11-29T09:24:43.000+08:00","高雄市","鳳山區","高雄市鳳山區成功路","點","120.358116,22.622979","積淹水災情","房屋積淹水","淹水","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001243","2016-11-29T09:24:28.000+08:00","高雄市","鳳山區","高雄市鳳山區鳳頂路360號","點","120.359267,22.592533","積淹水災情","房屋積淹水","房屋淹水","未指派","災情查報WEB","2","0","0","0","0","否","否"
"042016110001241","2016-11-29T09:22:03.000+08:00","高雄市","鳳山區","高雄市鳳山區鳳頂路","點","120.358589,22.585137","積淹水災情","房屋積淹水","淹水","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001240","2016-11-29T09:21:13.000+08:00","高雄市","鳳山區","高雄市鳳山區過埤里44鄰園茂路205號","線","120.35676240919656,22.595707134173725","積淹水災情","房屋積淹水","房屋淹水","未指派","災情查報WEB","1","0","0","0","0","否","否"
"042016110001239","2016-11-29T09:19:39.000+08:00","高雄市","鳳山區","高雄市鳳山區鳳頂路360號","點","120.354107843346,22.6160963430533","路樹災情","路樹傾斜","倒塌","已處理","災情查報WEB","1","0","0","0","0","否","是"
"072016110000076","2016-11-25T09:28:33.000+08:00","臺南市","佳里區","(大量話務演練)台南市佳里區，整個佳里區停電","點","120.17230437148729,23.166684663615257","民生、基礎設施災情","電力停電"," ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"042016110001238","2016-11-25T09:28:12.000+08:00","臺南市","歸仁區","臺南市歸仁區國光街54巷6號","點","120.289212,22.968268","積淹水災情","房屋地下室積水","地下室積水","未指派","災情查報WEB","0","0","0","0","0","否","否"
"072016110000074","2016-11-25T09:28:05.000+08:00","臺南市","中西區","台南市中西區開山路5號(大量話務演練)","點","120.20565991843118,22.992031691278864","其他災情","其他","2016/11/25 09:28:05 受傷1人 ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000075","2016-11-25T09:27:50.000+08:00","臺南市","楠西區","台南市楠西區二層坪土雞城後方(大量話務演練)","點","120.48775393418998,23.17302774726868","土石災情","土石崩落","2016/11/25 09:27:50 - 土石坍坊無人受困受傷","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000073","2016-11-25T09:27:36.000+08:00","臺南市","永康區","台南市永康區王行路68巷15號(大量話務演練)","點","120.27474093522316,23.03204113546159","其他災情","其他"," ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000078","2016-11-25T09:27:32.000+08:00","臺南市","安南區","台南市安南區工業二路36號(伊默克化災-話務演練)","點","120.15719516754369,23.03671393707879","其他災情","其他","2016/11/25 09:27:32 - 內有禁水性物品","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"042016110001237","2016-11-25T09:26:15.000+08:00","臺南市","鹽水區","臺南市鹽水區中山路39號","點","120.266366,23.319986","廣告招牌災情","廣告招牌掉落","廣告招牌","未指派","災情查報WEB","0","0","0","0","0","否","否"
"072016110000069","2016-11-25T09:26:12.000+08:00","臺南市","南區","台南市南區喜樹路78-1號","點","120.17977237495573,22.945175837221747","其他災情","其他","2016/11/25 09:26:12 - 招牌掉落","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000072","2016-11-25T09:26:11.000+08:00","臺南市","東山區","台南市東山區東原國小前路面坑洞(大量話務演練)","點","120.4465916231942,23.26594822338184","道路、隧道災情","其他"," ","待處理","119消防署派遣系統","0","0","0","0","0","是","否"
"072016110000071","2016-11-25T09:26:01.000+08:00","臺南市","南區","台南市南區興隆路84號(大量話務演練)","點","120.1931942725277,22.958525492330402","其他災情","其他"," ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000070","2016-11-25T09:25:50.000+08:00","臺南市","南化區","台南市南化區南化區衛生所[積水80公分-大量話務演練]","點","120.47944629024789,23.044442267661854","積淹水災情","地區積淹水","2016/11/25 09:25:50 - 積水水80公分，無人受困","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000068","2016-11-25T09:24:50.000+08:00","臺南市","新市區","台南市新市區民族路156號(大量話務測試)","點","120.29844303884475,23.081216308099307","其他災情","其他","2016/11/25 09:24:50 - (大量話務測試)","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000067","2016-11-25T09:24:29.000+08:00","臺南市","學甲區","台南市學甲區三慶里新芳58號(大量話務演練)","點","120.19120841129147,23.27782541334695","積淹水災情","地區積淹水"," ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000066","2016-11-25T09:23:39.000+08:00","臺南市","下營區","台南市下營區慈惠街28號(電線掉落-話務演練)","點","120.26854042512261,23.23592894490492","其他災情","其他"," ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000077","2016-11-25T09:23:30.000+08:00","臺南市","安南區","(大量話務演練)台南市安南區海中街70號(積水50公分)","點","120.18440693447131,23.039908011620323","積淹水災情","地區積淹水","2016/11/25 09:23:30 - 積水50公分","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000065","2016-11-25T09:23:28.000+08:00","臺南市","新化區","台南市新化區太平街","點","120.3049595106983,23.039099074737912","民生、基礎設施災情","電力停電","2016/11/25 09:23:28 - 全區停電","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"042016110001236","2016-11-25T09:23:12.000+08:00","臺南市","白河區","臺南市白河區三民路208號","點","120.420842,23.351156","路樹災情","路樹倒塌","路樹倒塌","未指派","災情查報WEB","0","0","0","0","0","否","否"
"072016110000064","2016-11-25T09:22:14.000+08:00","臺南市","永康區","台南市永康區鹽行分隊前積水約1公尺(大量話務演練)","點","120.23029807761397,23.034790930740122","積淹水災情","房屋積淹水","2016/11/25 09:22:14 - (大量話務演練)","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000063","2016-11-25T09:21:50.000+08:00","臺南市","永康區","台南市永康區大橋三街42號(路樹倒塌演練)","點","120.22511043926349,23.017785304948774","路樹災情","路樹倒塌"," ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000062","2016-11-25T09:21:31.000+08:00","臺南市","柳營區","台南市柳營區士賢街32-52號(大量化務演練)","點","120.31016285698179,23.277930625150457","其他災情","其他","2016/11/25 09:21:31 受傷1人 - 演練","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000079","2016-11-25T09:21:21.000+08:00","臺南市","六甲區","(大量話務演練)台南市六甲區中正路423巷23號","點","120.35018072192906,23.22828168546881","火災","建築物"," ","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000061","2016-11-25T09:19:44.000+08:00","臺南市","白河區","台南市白河區水火同源[關嶺里水火洞1-1號對面](土石坍坊)","點","120.48508534613451,23.322149287758972","土石災情","土石崩落","2016/11/25 09:19:44 - 土石坍坊100公尺無受傷","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"072016110000060","2016-11-25T09:17:13.000+08:00","臺南市","安平區","台南市安平區永華路二段898號119測試","點","120.16658191885838,22.992052267093932","路樹災情","路樹倒塌","2016/11/25 09:17:13 - 案發地址疑似弱勢團體(聽覺障礙,自閉症)登記地址","待處理","119消防署派遣系統","0","0","0","0","0","否","否"
"042016110001220","2016-11-24T14:59:01.000+08:00","高雄市","鹽埕區","高雄市鹽埕區公園二路131號","點","120.283478,22.621031","路樹災情","路樹傾斜","路樹倒2棵.影響交通","待處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001217","2016-11-24T14:21:56.000+08:00","高雄市","苓雅區","高雄市苓雅區三多一路","點","120.336065,22.623718","廣告招牌災情","廣告招牌欲墜","有5人受傷","已處理","災情查報WEB","5","0","0","0","0","否","否"
"042016110001216","2016-11-24T14:21:50.000+08:00","高雄市","鳳山區","高雄市鳳山區鳳頂路360號","點","120.359267,22.592533","土石災情","土石流","10000人死亡","處理中","災情查報WEB","1","1","1","1","1","是","是"
"042016110001219","2016-11-24T14:21:47.000+08:00","高雄市","鳳山區","高雄市鳳山區鳳頂路","點","120.358589,22.585137","土石災情","土石流","土石災情2人受傷","已處理","災情查報WEB","2","0","0","0","0","否","否"
"042016110001218","2016-11-24T14:00:00.000+08:00","高雄市","楠梓區","高雄市楠梓區土庫一路119號","點","120.330757,22.735379","建物毀損","圍牆（籬）倒塌","2人受困屋內","已處理","災情查報WEB","0","0","2","0","0","否","否"
"042016110001215","2016-11-24T11:08:25.000+08:00","臺南市","善化區","臺南市善化區善化國小","點","120.300559269259,23.1406017788244","路樹災情","路樹傾斜","樹倒test","待處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001213","2016-11-24T11:08:25.000+08:00","臺東縣","池上鄉","臺東縣池上鄉","點","121.220263440294,23.0927042976723","路樹災情","路樹傾斜","123","未指派","災情查報WEB","0","0","0","0","0","是","否"
"042016110001212","2016-11-24T10:52:30.000+08:00","臺南市","中西區","臺南市中西區永福里中正路51巷11號","點","120.201853,22.991964","民生、基礎設施災情","電力停電","TEST","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001211","2016-11-24T10:50:41.000+08:00","臺南市","東區","臺南市東區","點","120.230293047736,22.9804891496729","路樹災情","路樹傾斜","1對母女傷亡","未指派","災情查報WEB","2","0","0","0","0","否","否"
"042016110001209","2016-11-24T10:50:04.000+08:00","臺南市","南區","臺南市南區喜東里1鄰明興路321巷23之1號","點","120.18627762794495,22.949719289189535","路樹災情","路樹傾斜","11","已處理","災情查報WEB","1","0","0","0","0","否","否"
"042016110001206","2016-11-24T10:47:29.000+08:00","臺南市","玉井區","臺南市玉井區玉田里35鄰大成路152號","點","120.4702377319336,23.123449203589736","路樹災情","路樹傾斜","123","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001202","2016-11-24T10:47:08.000+08:00","臺南市","玉井區","臺南市玉井區中正路","點","120.458712,23.121248","路樹災情","路樹倒塌","111","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001204","2016-11-24T10:46:41.000+08:00","臺南市","南區","臺南市南區喜東里1鄰明興路321巷22之3號","點","120.18620520830154,22.950124353031473","路樹災情","路樹倒塌","路樹倒塌","待處理","災情查報WEB","1","0","0","0","0","否","否"
"042016110001198","2016-11-24T10:44:45.000+08:00","臺南市","玉井區","臺南市玉井區三埔里","點","120.48105,23.102767","民生、基礎設施災情","電力停電","招牌倒塌導致電力中斷","已處理","災情查報WEB","1","0","0","0","1","是","否"
"042016110001200","2016-11-24T10:44:37.000+08:00","臺南市","歸仁區","臺南市歸仁區許厝里","點","120.30081868171692,22.966474088222466","廣告招牌災情","廣告招牌掉落","信義北路11號附近商家","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001197","2016-11-24T10:44:09.000+08:00","臺南市","新化區","臺南市新化區護國里","點","120.325077,23.055264","道路、隧道災情","其他","道路坑洞","已處理","災情查報WEB","0","0","0","0","0","是","是"
"042016110001201","2016-11-24T10:43:47.000+08:00","臺南市","安南區","臺南市安南區佃西里10鄰海佃路388巷7號","點","120.17632458736443,23.063398465354364","積淹水災情","道路積淹水","原道路積水消退 、但馬路仍有掉落之路樹與招牌未清除影響人車通行","已處理","災情查報WEB","1","0","0","0","0","是","是"
"042016110001196","2016-11-24T10:43:28.000+08:00","臺南市","中西區","臺南市中西區建國里10鄰永福路113號","點","120.20113706588745,22.99375546663799","路樹災情","路樹倒塌","路樹倒塌test","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001199","2016-11-24T10:43:14.000+08:00","臺南市","龍崎區","臺南市龍崎區龍船里1號","點","120.413244,22.941557","路樹災情","路樹倒塌","路樹倒塌","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001193","2016-11-24T10:19:07.000+08:00","臺南市","白河區","臺南市白河區三民路","點","120.425149,23.351134","廣告招牌災情","廣告招牌掉落","廣告招牌掉落","待處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001191","2016-11-24T10:18:24.000+08:00","臺南市","新化區","臺南市新化區礁坑里","點","120.35273015499115,23.027340931840037","路樹災情","路樹傾斜","路樹倒塌","待處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001190","2016-11-24T10:15:21.000+08:00","臺南市","左鎮區","臺南市左鎮區左鎮里","點","120.40241432216135,23.05486865140839","路樹災情","路樹傾斜","1124教育訓練測試
路樹倒塌，砸傷路人","待處理","災情查報WEB","1","0","0","0","0","否","否"
"042016110001187","2016-11-24T10:15:11.000+08:00","臺南市","龍崎區","臺南市龍崎區新市仔103號","點","120.364932,22.963121","道路、隧道災情","邊坡坍方","龍崎區前道路崩塌","已處理","災情查報WEB","0","0","0","0","0","是","否"
"042016110001186","2016-11-24T10:13:43.000+08:00","臺南市","善化區","臺南市善化區火車站","點","120.300559269259,23.1406017788244","路樹災情","路樹傾斜","黑板樹倒塌","已處理","災情查報WEB","1","0","0","0","0","否","否"
"042016110001181","2016-11-24T10:13:08.000+08:00","臺南市","左鎮區","臺南市左鎮區","點","120.409902205643,23.0231227187132","路樹災情","路樹倒塌","test","待處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001192","2016-11-24T10:13:01.000+08:00","臺南市","歸仁區","臺南市歸仁區歸仁里7鄰中山路568號","點","120.29491916298866,22.967007520603985","路樹災情","路樹倒塌","路樹倒塌阻礙交通致車輛撞到倒塌路樹造成司機受傷","已處理","災情查報WEB","1","0","0","0","0","否","是"
"042016110001183","2016-11-24T10:12:50.000+08:00","臺南市","白河區","臺南市白河區","點","120.460100063719,23.3504471948901","路樹災情","路樹傾斜","竹林倒塌在馬路中","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001179","2016-11-24T10:12:36.000+08:00","臺南市","新市區","臺南市新市區港墘里12鄰中山路111號","點","120.3014646468364,23.07500938400508","積淹水災情","房屋積淹水","房屋積水","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001185","2016-11-24T10:12:08.000+08:00","臺南市","仁德區","臺南市仁德區田厝里7鄰保安路633號","點","120.24718469381128,22.93794523305923","廣告招牌災情","廣告招牌欲墜","測試測試","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001180","2016-11-24T10:11:59.000+08:00","臺南市","歸仁區","臺南市歸仁區歸仁里7鄰中山路568號","點","120.29448257257172,22.966976201551063","路樹災情","路樹傾斜","123","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001184","2016-11-24T10:11:40.000+08:00","臺南市","仁德區","臺南市仁德區仁義里45鄰仁義路70巷1號","點","120.25454521179199,22.968133648719842","路樹災情","路樹倒塌","路樹倒塌test","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001176","2016-11-24T10:10:58.000+08:00","臺南市","關廟區","臺南市關廟區香洋里3鄰中正路998號","點","120.32769978046417,22.962977090489108","廣告招牌災情","廣告招牌欲墜","旁邊招牌似墜","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001178","2016-11-24T10:09:54.000+08:00","臺南市","楠西區","臺南市楠西區密枝里","點","120.5011796951294,23.187785620478497","土石災情","土石流","土石滑落","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001170","2016-11-24T10:09:50.000+08:00","臺南市","安平區","臺南市安平區","點","120.163224828623,22.9855092398602","路樹災情","路樹傾斜","路樹倒塌","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001195","2016-11-24T10:09:48.000+08:00","臺南市","白河區","臺南市白河區永安里11鄰中山路113號","點","120.4159636795248,23.351335433338054","積淹水災情","房屋積淹水","中山路113號及附近民宅房屋淹水達40公分深，連接道路亦有淹水情形，水深處車輛無法出入","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001173","2016-11-24T10:09:48.000+08:00","臺南市","安南區","臺南市安南區","點","120.154785156529,23.0440449283549","路樹災情","路樹傾斜","安中路二段","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001171","2016-11-24T10:09:47.000+08:00","臺南市","新市區","臺南市新市區新和里1鄰中華路10巷2號","點","120.29003620147705,23.06780815010577","廣告招牌災情","廣告招牌欲墜","大樹倒了
","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001174","2016-11-24T10:09:43.000+08:00","臺南市","新市區","臺南市新市區社內里8鄰75之52號","點","120.28478555403126,23.081851624327328","廣告招牌災情","廣告招牌掉落","路樹壓廣告招牌後，招牌掉落，1人受傷","已處理","災情查報WEB","1","0","0","0","0","否","否"
"042016110001172","2016-11-24T10:09:41.000+08:00","臺南市","中西區","臺南市中西區銀同里16鄰開山路1號","點","120.20571827888489,22.99215547995471","廣告招牌災情","廣告招牌欲墜","test","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001188","2016-11-24T10:08:58.000+08:00","臺南市","山上區","臺南市山上區豐德里","點","120.3676,23.079109","民生、基礎設施災情","電線（桿）毀損","路樹倒塌","已處理","災情查報WEB","2","0","0","0","0","否","否"
"042016110001169","2016-11-24T09:57:19.000+08:00","臺南市","新營區","臺南市新營區中營里","點","120.32318830490112,23.306768772724027","路樹災情","路樹倒塌","路樹倒塌","待處理","災情查報WEB","2","0","0","0","0","是","是"
"042016110001168","2016-11-23T13:52:17.000+08:00","高雄市","鼓山區","高雄市左營區海勝里","線","120.29052972793579,22.671441854573263,120.29170989990234,22.668669876301752,120.29291152954102,22.66470981017682","路樹災情","路樹傾斜","一位市民受傷在現場一部車輛受損並有路樹倒地","已處理","災情查報WEB","1","0","1","0","0","否","是"
"042016110001167","2016-11-23T13:51:29.000+08:00","高雄市","鳳山區","高雄市鳳山區中崙里2鄰五甲一路667之1號","面","120.34878730773926,22.6095738275935","路樹災情","路樹傾斜","路樹倒塌123456","已處理","災情查報WEB","1","0","0","0","0","否","是"
"042016110001166","2016-11-23T11:34:15.000+08:00","高雄市","鳳山區","高雄市鳳山區鳳頂路360號","點","120.359267,22.592533","其他災情","溪水暴漲","測試","待處理","災情查報WEB","1","0","0","0","0","否","否"
"062016110000008","2016-11-23T11:29:00.000+08:00","臺南市","官田區","臺南市官田區","點","120.35219907760622,23.193454389260545","積淹水災情","道路積淹水","南119淹水","未指派","災情查報APP","0","0","0","0","0","是","否"
"062016110000007","2016-11-23T11:11:00.000+08:00","臺南市","將軍區","臺南市將軍區南19鄉道49號","點","120.15798032283783,23.1963275132957","路樹災情","路樹倒塌","路樹倒","未指派","災情查報APP","0","0","0","0","0","否","是"
"042016110001164","2016-11-23T10:36:59.000+08:00","臺南市","東山區","臺南市東山區","點","120.431879489069,23.2807601513188","路樹災情","路樹傾斜","qwert","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001158","2016-11-23T10:30:32.000+08:00","臺南市","鹽水區","臺南市鹽水區","點","120.245205081452,23.3008364483941","路樹災情","路樹傾斜","中山路路樹倒塌","未指派","災情查報WEB","1","0","0","0","0","是","否"
"042016110001159","2016-11-23T10:30:31.000+08:00","臺南市","南化區","臺南市南化區","點","120.543661351448,23.1210002815394","建物毀損","建物半倒","區公所因地震損壞。","待處理","災情查報WEB","10","1","5","0","0","是","否"
"042016110001160","2016-11-23T10:30:03.000+08:00","臺南市","東山區","臺南市東山區","點","120.431879489069,23.2807601513188","民生、基礎設施災情","電線（桿）毀損","zxcvbnm","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001162","2016-11-23T10:29:42.000+08:00","臺南市","大內區","臺南市大內區","點","120.398704705626,23.1506536390852","廣告招牌災情","廣告招牌欲墜","招牌破損","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001157","2016-11-23T10:28:40.000+08:00","臺南市","南化區","臺南市南化區玉山里","點","120.513959,23.068118","民生、基礎設施災情","電線（桿）毀損","電桿倒塌。","待處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001153","2016-11-23T10:27:04.000+08:00","臺南市","佳里區","臺南市佳里區","點","120.180409600009,23.1647448502884","廣告招牌災情","廣告招牌掉落","狂風吹倒招牌
道路不通","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001156","2016-11-23T10:26:42.000+08:00","臺南市","將軍區","臺南市將軍區長榮里1鄰5號","點","120.15859588980675,23.19805419323429","路樹災情","路樹傾斜","路樹倒","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001152","2016-11-23T10:26:38.000+08:00","臺南市","官田區","臺南市官田區","點","120.358774591247,23.1897040087793","民生、基礎設施災情","電力停電","1234","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001155","2016-11-23T10:26:22.000+08:00","臺南市","麻豆區","臺南市麻豆區忠孝路250號","點","120.258442,23.18488","火災","建築物","鋼鐵人家失火","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001147","2016-11-23T10:08:39.000+08:00","臺南市","西港區","臺南市西港區慶安里18鄰慶安路32號","點","120.20194441080093,23.12121926780923","廣告招牌災情","廣告招牌掉落","慶安宮前廣告招牌掉落阻礙車輛通行","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001139","2016-11-23T10:07:42.000+08:00","臺南市","柳營區","臺南市柳營區柳營路2段59號","點","120.311527,23.27839","道路、隧道災情","路基流失","TEST","已處理","災情查報WEB","0","0","0","0","0","是","否"
"042016110001143","2016-11-23T10:05:16.000+08:00","臺南市","大內區","臺南市大內區農會前","點","120.398704705626,23.1506536390852","民生、基礎設施災情","電力停電","電線斷掉","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001124","2016-11-23T10:05:11.000+08:00","臺南市","西港區","臺南市西港區劉厝里","點","120.17989,23.131224","路樹災情","路樹倒塌","路樹到塌","待處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001136","2016-11-23T10:05:09.000+08:00","臺南市","七股區","臺南市七股區test","點","120.102498715417,23.1194199971985","積淹水災情","道路積淹水","豪雨造成道路淹水","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001148","2016-11-23T10:05:05.000+08:00","臺南市","鹽水區","臺南市鹽水區岸內里","點","120.26921153068542,23.323557836839043","民生、基礎設施災情","電力停電","路樹傾斜壓到電線TEST","已處理","災情查報WEB","0","0","0","0","0","否","否"
"042016110001126","2016-11-23T10:05:02.000+08:00","臺南市","下營區","臺南市下營區仁里里","點","120.263095,23.227765","民生、基礎設施災情","電力停電","公園路停電","已處理","災情查報WEB","0","0","0","0","0","是","否"
"042016110001128","2016-11-23T10:04:56.000+08:00","臺南市","後壁區","臺南市後壁區後壁國中","點","120.345232488339,23.3593325400596","積淹水災情","道路積淹水","11月災害應變測試","已處理","災情查報WEB","0","0","3","0","0","否","是"
